iter	RMSE
1708	nan
1709	nan
1710	6.205069663
1711	nan
1712	nan
1713	nan
1714	nan
1715	nan
1716	nan
1717	nan
1718	nan
1719	nan
1720	6.166848356
1721	nan
1722	nan
1723	nan
1724	nan
1725	nan
1726	nan
1727	nan
1728	nan
1729	nan
1730	6.12605893
1731	nan
1732	nan
1733	nan
1734	nan
1735	nan
1736	nan
1737	nan
1738	nan
1739	nan
1740	6.083447981
1741	nan
1742	nan
1743	nan
1744	nan
1745	nan
1746	nan
1747	nan
1748	nan
1749	nan
1750	6.047442204
1751	nan
1752	nan
1753	nan
1754	nan
1755	nan
1756	nan
1757	nan
1758	nan
1759	nan
1760	6.005528406
1761	nan
1762	nan
1763	nan
1764	nan
1765	nan
1766	nan
1767	nan
1768	nan
1769	nan
1770	5.965790103
1771	nan
1772	nan
1773	nan
1774	nan
1775	nan
1776	nan
1777	nan
1778	nan
1779	nan
1780	5.931056295
1781	nan
1782	nan
1783	nan
1784	nan
1785	nan
1786	nan
1787	nan
1788	nan
1789	nan
1790	5.890257613
1791	nan
1792	nan
1793	nan
1794	nan
1795	nan
1796	nan
1797	nan
1798	nan
1799	nan
1800	5.851792503
1801	nan
1802	nan
1803	nan
1804	nan
1805	nan
1806	nan
1807	nan
1808	nan
1809	nan
1810	5.814372487
1811	nan
1812	nan
1813	nan
1814	nan
1815	nan
1816	nan
1817	nan
1818	nan
1819	nan
1820	5.772815167
1821	nan
1822	nan
1823	nan
1824	nan
1825	nan
1826	nan
1827	nan
1828	nan
1829	nan
1830	5.73768963
1831	nan
1832	nan
1833	nan
1834	nan
1835	nan
1836	nan
1837	nan
1838	nan
1839	nan
1840	5.70606163
1841	nan
1842	nan
1843	nan
1844	nan
1845	nan
1846	nan
1847	nan
1848	nan
1849	nan
1850	5.673645595
1851	nan
1852	nan
1853	nan
1854	nan
1855	nan
1856	nan
1857	nan
1858	nan
1859	nan
1860	5.638898445
1861	nan
1862	nan
1863	nan
1864	nan
1865	nan
1866	nan
1867	nan
1868	nan
1869	nan
1870	5.604050572
1871	nan
1872	nan
1873	nan
1874	nan
1875	nan
1876	nan
1877	nan
1878	nan
1879	nan
1880	5.569610177
1881	nan
1882	nan
1883	nan
1884	nan
1885	nan
1886	nan
1887	nan
1888	nan
1889	nan
1890	5.535572966
1891	nan
1892	nan
1893	nan
1894	nan
1895	nan
1896	nan
1897	nan
1898	nan
1899	nan
1900	5.500133522
1901	nan
1902	nan
1903	nan
1904	nan
1905	nan
1906	nan
1907	nan
1908	nan
1909	nan
1910	5.463230813
1911	nan
1912	nan
1913	nan
1914	nan
1915	nan
1916	nan
1917	nan
1918	nan
1919	nan
1920	5.42510002
1921	nan
1922	nan
1923	nan
1924	nan
1925	nan
1926	nan
1927	nan
1928	nan
1929	nan
1930	5.395609291
1931	nan
1932	nan
1933	nan
1934	nan
1935	nan
1936	nan
1937	nan
1938	nan
1939	nan
1940	5.362285255
1941	nan
1942	nan
1943	nan
1944	nan
1945	nan
1946	nan
1947	nan
1948	nan
1949	nan
1950	5.322126532
1951	nan
1952	nan
1953	nan
1954	nan
1955	nan
1956	nan
1957	nan
1958	nan
1959	nan
1960	5.2898672
1961	nan
1962	nan
1963	nan
1964	nan
1965	nan
1966	nan
1967	nan
1968	nan
1969	nan
1970	5.261834124
1971	nan
1972	nan
1973	nan
1974	nan
1975	nan
1976	nan
1977	nan
1978	nan
1979	nan
1980	5.22250277
1981	nan
1982	nan
1983	nan
1984	nan
1985	nan
1986	nan
1987	nan
1988	nan
1989	nan
1990	5.187999211
1991	nan
1992	nan
1993	nan
1994	nan
1995	nan
1996	nan
1997	nan
1998	nan
1999	nan
2000	5.154668787
2001	nan
2002	nan
2003	nan
2004	nan
2005	nan
2006	nan
2007	nan
2008	nan
2009	nan
2010	5.121228389
2011	nan
2012	nan
2013	nan
2014	nan
2015	nan
2016	nan
2017	nan
2018	nan
2019	nan
2020	5.091828594
2021	nan
2022	nan
2023	nan
2024	nan
2025	nan
2026	nan
2027	nan
2028	nan
2029	nan
2030	5.0602279
2031	nan
2032	nan
2033	nan
2034	nan
2035	nan
2036	nan
2037	nan
2038	nan
2039	nan
2040	5.03033155
2041	nan
2042	nan
2043	nan
2044	nan
2045	nan
2046	nan
2047	nan
2048	nan
2049	nan
2050	4.999718646
2051	nan
2052	nan
2053	nan
2054	nan
2055	nan
2056	nan
2057	nan
2058	nan
2059	nan
2060	4.969145239
2061	nan
2062	nan
2063	nan
2064	nan
2065	nan
2066	nan
2067	nan
2068	nan
2069	nan
2070	4.944496781
2071	nan
2072	nan
2073	nan
2074	nan
2075	nan
2076	nan
2077	nan
2078	nan
2079	nan
2080	4.911747022
2081	nan
2082	nan
2083	nan
2084	nan
2085	nan
2086	nan
2087	nan
2088	nan
2089	nan
2090	4.882518812
2091	nan
2092	nan
2093	nan
2094	nan
2095	nan
2096	nan
2097	nan
2098	nan
2099	nan
2100	4.854490883
2101	nan
2102	nan
2103	nan
2104	nan
2105	nan
2106	nan
2107	nan
2108	nan
2109	nan
2110	4.828586444
2111	nan
2112	nan
2113	nan
2114	nan
2115	nan
2116	nan
2117	nan
2118	nan
2119	nan
2120	4.800649015
2121	nan
2122	nan
2123	nan
2124	nan
2125	nan
2126	nan
2127	nan
2128	nan
2129	nan
2130	4.773953056
2131	nan
2132	nan
2133	nan
2134	nan
2135	nan
2136	nan
2137	nan
2138	nan
2139	nan
2140	4.74877011
2141	nan
2142	nan
2143	nan
2144	nan
2145	nan
2146	nan
2147	nan
2148	nan
2149	nan
2150	4.7199509
2151	nan
2152	nan
2153	nan
2154	nan
2155	nan
2156	nan
2157	nan
2158	nan
2159	nan
2160	4.692087013
2161	nan
2162	nan
2163	nan
2164	nan
2165	nan
2166	nan
2167	nan
2168	nan
2169	nan
2170	4.664024915
2171	nan
2172	nan
2173	nan
2174	nan
2175	nan
2176	nan
2177	nan
2178	nan
2179	nan
2180	4.634291459
2181	nan
2182	nan
2183	nan
2184	nan
2185	nan
2186	nan
2187	nan
2188	nan
2189	nan
2190	4.60243297
2191	nan
2192	nan
2193	nan
2194	nan
2195	nan
2196	nan
2197	nan
2198	nan
2199	nan
2200	4.575271462
2201	nan
2202	nan
2203	nan
2204	nan
2205	nan
2206	nan
2207	nan
2208	nan
2209	nan
2210	4.547766353
2211	nan
2212	nan
2213	nan
2214	nan
2215	nan
2216	nan
2217	nan
2218	nan
2219	nan
2220	4.523964368
2221	nan
2222	nan
2223	nan
2224	nan
2225	nan
2226	nan
2227	nan
2228	nan
2229	nan
2230	4.497820358
2231	nan
2232	nan
2233	nan
2234	nan
2235	nan
2236	nan
2237	nan
2238	nan
2239	nan
2240	4.471732932
2241	nan
2242	nan
2243	nan
2244	nan
2245	nan
2246	nan
2247	nan
2248	nan
2249	nan
2250	4.44530715
2251	nan
2252	nan
2253	nan
2254	nan
2255	nan
2256	nan
2257	nan
2258	nan
2259	nan
2260	4.415826705
2261	nan
2262	nan
2263	nan
2264	nan
2265	nan
2266	nan
2267	nan
2268	nan
2269	nan
2270	4.390534859
2271	nan
2272	nan
2273	nan
2274	nan
2275	nan
2276	nan
2277	nan
2278	nan
2279	nan
2280	4.365479434
2281	nan
2282	nan
2283	nan
2284	nan
2285	nan
2286	nan
2287	nan
2288	nan
2289	nan
2290	4.345855398
2291	nan
2292	nan
2293	nan
2294	nan
2295	nan
2296	nan
2297	nan
2298	nan
2299	nan
2300	4.324157954
2301	nan
2302	nan
2303	nan
2304	nan
2305	nan
2306	nan
2307	nan
2308	nan
2309	nan
2310	4.298582057
2311	nan
2312	nan
2313	nan
2314	nan
2315	nan
2316	nan
2317	nan
2318	nan
2319	nan
2320	4.278934723
2321	nan
2322	nan
2323	nan
2324	nan
2325	nan
2326	nan
2327	nan
2328	nan
2329	nan
2330	4.252430039
2331	nan
2332	nan
2333	nan
2334	nan
2335	nan
2336	nan
2337	nan
2338	nan
2339	nan
2340	4.225389833
2341	nan
2342	nan
2343	nan
2344	nan
2345	nan
2346	nan
2347	nan
2348	nan
2349	nan
2350	4.201114924
2351	nan
2352	nan
2353	nan
2354	nan
2355	nan
2356	nan
2357	nan
2358	nan
2359	nan
2360	4.179668742
2361	nan
2362	nan
2363	nan
2364	nan
2365	nan
2366	nan
2367	nan
2368	nan
2369	nan
2370	4.158048367
2371	nan
2372	nan
2373	nan
2374	nan
2375	nan
2376	nan
2377	nan
2378	nan
2379	nan
2380	4.134974788
2381	nan
2382	nan
2383	nan
